Panjang_Awal(m),Panjang_Akhir(m),Keliling (cm),Diameter (cm),KUBIKASI 
,,122,39,0.37
,,126,40,0.39
,,129,41,0.41
,,132,42,0.43
,,135,43,0.45
,,138,44,0.47
,,141,45,0.49
,,144,46,0.51
,,148,47,0.53
,,151,48,0.55
,,154,49,0.57
,,157,50,0.60
,,160,51,0.62
,,163,52,0.64
,,166,53,0.67
,,170,54,0.69
,,173,55,0.71
,,176,56,0.74
,,179,57,0.76
,,182,58,0.79
,,185,59,0.81
,,188,60,0.84
,,192,61,0.87
,,195,62,0.89
,,198,63,0.92
,,201,64,0.95
,,204,65,0.98
,,207,66,1.01
,,210,67,1.04
,,214,68,1.07
,,217,69,1.10
,,220,70,1.13
,,223,71,1.16
,,226,72,1.19
,,229,73,1.22
,,232,74,1.26
,,236,75,1.29
,,239,76,1.32
,,242,77,1.36
,,245,78,1.39
,,248,79,1.43
,,251,80,1.46
,,254,81,1.50
,,258,82,1.53
,,261,83,1.57
,,264,84,1.61
,,267,85,1.64
,,270,86,1.68
,,273,87,1.72
,,276,88,1.76
,,280,89,1.80
,,283,90,1.84
,,286,91,1.88
,,289,92,1.92
,,292,93,1.96
,,295,94,2.00
,,298,95,2.04
,,302,96,2.08
,,305,97,2.13
,,308,98,2.17
,,311,99,2.22
,,314,100,2.26
,,317,101,2.30
,,320,102,2.35
,,324,103,2.40
,,327,104,2.44
,,330,105,2.49
,,333,106,2.53
,,336,107,2.58
,,339,108,2.63
,,342,109,2.68
,,346,110,2.73
,,349,111,2.78
,,352,112,2.82
,,355,113,2.88
,,358,114,2.93
,,361,115,2.98
,,364,116,3.05
,,368,117,3.11
,,371,118,3.16
,,374,119,3.22
,,377,120,3.28
,,380,121,3.34
,,383,122,3.41
,,386,123,3.48
,,390,124,3.55
,,393,125,3.63
,,396,126,3.70
,,399,127,3.78
,,402,128,3.86
,,405,129,3.94
,,408,130,4.04
"4,00","4,90",94,30,0.32
,,97,31,0.34
,,100,32,0.36
,,104,33,0.38
,,107,34,0.40
,,110,35,0.42
,,113,36,0.44
,,116,37,0.47
,,119,38,0.49
,,122,39,0.51
,,126,40,0.54
,,129,41,0.56
,,132,42,0.59
,,135,43,0.61
,,138,44,0.64
,,141,45,0.67
,,144,46,0.69
,,148,47,0.72
,,151,48,0.75
,,154,49,0.78
,,157,50,0.81
,,160,51,0.84
,,163,52,0.87
,,166,53,0.90
,,170,54,0.93
,,173,55,0.97
,,176,56,1.00
,,179,57,1.04
,,182,58,1.07
,,185,59,1.10
,,188,60,1.14
,,192,61,1.18
,,195,62,1.21
,,198,63,1.25
,,201,64,1.29
,,204,65,1.33
,,207,66,1.36
,,210,67,1.40
,,214,68,1.44
,,217,69,1.48
,,220,70,1.53
,,223,71,1.57
,,226,72,1.61
,,229,73,1.65
,,232,74,1.70
,,236,75,1.74
,,239,76,1.78
,,242,77,1.83
,,245,78,1.88
,,248,79,1.92
,,251,80,1.97
,,254,81,2.02
,,258,82,2.07
,,261,83,2.11
,,264,84,2.17
,,267,85,2.21
,,270,86,2.26
,,273,87,2.32
,,276,88,2.37
,,280,89,2.42
,,283,90,2.47
,,286,91,2.53
,,289,92,2.58
,,292,93,2.64
,,295,94,2.69
,,298,95,2.75
,,302,96,2.81
,,305,97,2.86
,,308,98,2.92
,,311,99,2.98
,,314,100,3.04
,,317,101,3.10
,,320,102,3.16
,,324,103,3.22
,,327,104,3.28
,,330,105,3.34
,,333,106,3.41
,,336,107,3.47
,,339,108,3.54
,,342,109,3.60
,,346,110,3.66
,,349,111,3.73
,,352,112,3.79
,,355,113,3.86
,,358,114,3.93
,,361,115,4.00
,,364,116,4.07
,,368,117,4.14
,,371,118,4.21
,,374,119,4.29
,,377,120,4.37
,,380,121,4.46
,,383,122,4.55
,,386,123,4.64
,,390,124,4.73
,,393,125,4.82
,,396,126,4.92
,,399,127,5.03
,,402,128,5.14
,,405,129,5.26
,,408,130,5.38
"5,00","5,90",94,30,0.41
,,97,31,0.43
,,100,32,0.46
,,104,33,0.49
,,107,34,0.51
,,110,35,0.54
,,113,36,0.57
,,116,37,0.60
,,119,38,0.63
,,122,39,0.66
,,126,40,0.69
,,129,41,0.72
,,132,42,0.75
,,135,43,0.78
,,138,44,0.82
,,141,45,0.85
,,144,46,0.89
,,148,47,0.92
,,151,48,0.96
,,154,49,1.00
,,157,50,1.04
,,160,51,1.07
,,163,52,1.11
,,166,53,1.15
,,170,54,1.19
,,173,55,1.23
,,176,56,1.28
,,179,57,1.32
,,182,58,1.36
,,185,59,1.40
,,188,60,1.45
,,192,61,1.50
,,195,62,1.54
,,198,63,1.59
,,201,64,1.64
,,204,65,1.69
,,207,66,1.73
,,210,67,1.78
,,214,68,1.83
,,217,69,1.88
,,220,70,1.94
,,223,71,1.99
,,226,72,2.04
,,229,73,2.10
,,232,74,2.15
,,236,75,2.21
,,239,76,2.26
,,242,77,2.32
,,245,78,2.38
,,248,79,2.44
,,251,80,2.50
,,254,81,2.55
,,258,82,2.62
,,261,83,2.68
,,264,84,2.74
,,267,85,2.80
,,270,86,2.87
,,273,87,2.93
,,276,88,2.99
,,280,89,3.06
,,283,90,3.13
,,286,91,3.20
,,289,92,3.26
,,292,93,3.33
,,295,94,3.40
,,298,95,3.47
,,302,96,3.54
,,305,97,3.62
,,308,98,3.69
,,311,99,3.77
,,314,100,3.84
,,317,101,3.91
,,320,102,3.99
,,324,103,4.07
,,327,104,4.14
,,330,105,4.22
,,333,106,4.30
,,336,107,4.38
,,339,108,4.46
,,342,109,4.54
,,346,110,4.62
,,349,111,4.71
,,352,112,4.79
,,355,113,4.87
,,358,114,4.96
,,361,115,5.05
,,364,116,5.15
,,368,117,5.24
,,371,118,5.33
,,374,119,5.43
,,377,120,5.53
,,380,121,5.65
,,383,122,5.75
,,386,123,5.86
,,390,124,5.96
,,393,125,6.07
,,396,126,6.19
,,399,127,6.31
,,402,128,6.43
,,405,129,6.56
,,408,130,6.69
"6,00","6,90",94,30,0.51
,,97,31,0.54
,,100,32,0.57
,,104,33,0.60
,,107,34,0.63
,,110,35,0.67
,,113,36,0.70
,,116,37,0.74
,,119,38,0.77
,,122,39,0.81
,,126,40,0.85
,,129,41,0.89
,,132,42,0.92
,,135,43,0.97
,,138,44,1.01
,,141,45,1.05
,,144,46,1.09
,,148,47,1.13
,,151,48,1.18
,,154,49,1.22
,,157,50,1.27
,,160,51,1.32
,,163,52,1.36
,,166,53,1.41
,,170,54,1.46
,,173,55,1.51
,,176,56,1.56
,,179,57,1.61
,,182,58,1.67
,,185,59,1.72
,,188,60,1.77
,,192,61,1.83
,,195,62,1.88
,,198,63,1.94
,,201,64,2.00
,,204,65,2.06
,,207,66,2.12
,,210,67,2.18
,,214,68,2.24
,,217,69,2.30
,,220,70,2.36
,,223,71,2.43
,,226,72,2.49
