Nama ,Panjang (m),Keliling (cm),Diameter (cm),Isi ,,,,,,,,,,,,,,,,,
,,38,13,"0,029",,,,,,,,,,,,,,,,,
,,47,16,"0,043",,,,,,,,,,,,,,,,,
,,57,19,"0,059",,,,,,,,,,,,,,,,,
,"2,00",9,4,"0,004",,,,,,,,,,,,,,,,,
,,19,7,"0,010",,,,,,,,,,,,,,,,,
,,28,10,"0,019",,,,,,,,,,,,,,,,,
,,38,13,"0,030",,,,,,,,,,,,,,,,,
,,47,16,"0,045",,,,,,,,,,,,,,,,,
,,57,19,"0,062",,,,,,,,,,,,,,,,,
,"2,10",9,4,"0,004",,,,,,,,,,,,,,,,,
,,19,7,"0,011",,,,,,,,,,,,,,,,,
,,28,10,"0,020",,,,,,,,,,,,,,,,,
,,38,13,"0,031",,,,,,,,,,,,,,,,,
,,47,16,"0,048",,,,,,,,,,,,,,,,,
,,57,19,"0,065",,,,,,,,,,,,,,,,,
"Tabel A.4 ̶ AI (Kayu bundar kecil) (p : 2,20 - 2,70 m; d : 4 - 19 cm) ","2,20",9,4,"0,004",,,,,,,,,,,,,,,,,
,,19,7,"0,011",,,,,,,,,,,,,,,,,
,,28,10,"0,021",,,,,,,,,,,,,,,,,
,,38,13,"0,034",,,,,,,,,,,,,,,,,
,,47,16,"0,050",,,,,,,,,,,,,,,,,
,,57,19,"0,069",,,,,,,,,,,,,,,,,
,"2,30",9,4,"0,005",,,,,,,,,,,,,,,,,
,,19,7,"0,012",,,,,,,,,,,,,,,,,
,,28,10,"0,022",,,,,,,,,,,,,,,,,
,,38,13,"0,036",,,,,,,,,,,,,,,,,
,,47,16,"0,053",,,,,,,,,,,,,,,,,
,,57,19,"0,072",,,,,,,,,,,,,,,,,
,"2,40",9,4,"0,005",,,,,,,,,,,,,,,,,
,,19,7,"0,012",,,,,,,,,,,,,,,,,
,,28,10,"0,023",,,,,,,,,,,,,,,,,
,,38,13,"0,037",,,,,,,,,,,,,,,,,
,,47,16,"0,055",,,,,,,,,,,,,,,,,
,,57,19,"0,076",,,,,,,,,,,,,,,,,
,"2,50",9,4,"0,005",,,,,,,,,,,,,,,,,
,,19,7,"0,013",,,,,,,,,,,,,,,,,
,,28,10,"0,024",,,,,,,,,,,,,,,,,
,,38,13,"0,039",,,,,,,,,,,,,,,,,
,,47,16,"0,058",,,,,,,,,,,,,,,,,
,,57,19,"0,079",,,,,,,,,,,,,,,,,
,"2,60",9,4,"0,005",,,,,,,,,,,,,,,,,
,,19,7,"0,014",,,,,,,,,,,,,,,,,
,,28,10,"0,025",,,,,,,,,,,,,,,,,
,,38,13,"0,041",,,,,,,,,,,,,,,,,
,,47,16,"0,061",,,,,,,,,,,,,,,,,
,,57,19,"0,083",,,,,,,,,,,,,,,,,
,"2,70",9,4,"0,005",,,,,,,,,,,,,,,,,
,,19,7,"0,014",,,,,,,,,,,,,,,,,
,,28,10,"0,026",,,,,,,,,,,,,,,,,
,,38,13,"0,043",,,,,,,,,,,,,,,,,
,,47,16,"0,063",,,,,,,,,,,,,,,,,
,,57,19,"0,087",,,,,,,,,,,,,,,,,
"Tabel A.5 ̶ AI (Kayu bundar kecil) (p : 2,80 - 3,30 m; d : 4 - 19 cm) ","2,80",9,4,"0,006",,,,,,,,,,,,,,,,,
,,19,7,"0,015",,,,,,,,,,,,,,,,,
,,28,10,"0,028",,,,,,,,,,,,,,,,,
,,38,13,"0,045",,,,,,,,,,,,,,,,,
,,47,16,"0,066",,,,,,,,,,,,,,,,,
,,57,19,"0,090",,,,,,,,,,,,,,,,,
,"2,90",9,4,"0,006",,,,,,,,,,,,,,,,,
,,19,7,"0,015",,,,,,,,,,,,,,,,,
,,28,10,"0,029",,,,,,,,,,,,,,,,,
,,38,13,"0,047",,,,,,,,,,,,,,,,,
,,47,16,"0,068",,,,,,,,,,,,,,,,,
,,57,19,"0,094",,,,,,,,,,,,,,,,,
,"3,00",9,4,"0,006",,,,,,,,,,,,,,,,,
,,19,7,"0,016",,,,,,,,,,,,,,,,,
,,28,10,"0,030",,,,,,,,,,,,,,,,,
,,38,13,"0,049",,,,,,,,,,,,,,,,,
,,47,16,"0,071",,,,,,,,,,,,,,,,,
,,57,19,"0,098",,,,,,,,,,,,,,,,,
,"3,10",9,4,"0,006",,,,,,,,,,,,,,,,,
,,19,7,"0,017",,,,,,,,,,,,,,,,,
,,28,10,"0,031",,,,,,,,,,,,,,,,,
,,38,13,"0,051",,,,,,,,,,,,,,,,,
,,47,16,"0,074",,,,,,,,,,,,,,,,,
,,57,19,"0,102",,,,,,,,,,,,,,,,,
,"3,20",9,4,"0,006",,,,,,,,,,,,,,,,,
,,19,7,"0,017",,,,,,,,,,,,,,,,,
,,28,10,"0,033",,,,,,,,,,,,,,,,,
,,38,13,"0,053",,,,,,,,,,,,,,,,,
,,47,16,"0,077",,,,,,,,,,,,,,,,,
,,57,19,"0,106",,,,,,,,,,,,,,,,,
,"3,30",9,4,"0,007",,,,,,,,,,,,,,,,,
,,19,7,"0,018",,,,,,,,,,,,,,,,,
,,28,10,"0,034",,,,,,,,,,,,,,,,,
,,38,13,"0,055",,,,,,,,,,,,,,,,,
,,47,16,"0,079",,,,,,,,,,,,,,,,,
,,57,19,"0,109",,,,,,,,,,,,,,,,,
